fecha,maxima,minima
1985-11-05,26.4,16.6
1985-11-06,28.4,18.4
1985-11-07,28.8,18.2
1985-11-08,28.8,13.2
2002-11-09,27,16
2002-11-10,27.4,18.2
1998-11-11,27.4,18.6
1998-11-12,26.2,17.2
1992-11-13,25.4,14.5
1977-11-14,26.6,15.4
2009-11-15,25,11
1975-11-16,29,9.4
1995-11-17,26.4,14.4
1995-11-18,28.2,15.2
1995-11-19,26.2,17.4
1995-11-20,26,15.4
1975-11-21,24.6,6.4
1984-11-22,25.4,12.8
1960-11-23,23.6,16
1984-11-24,26.8,9.8
1960-11-25,24,16.6
2015-11-26,24.9,14
1983-11-27,25.6,17.6
1974-11-28,26,17
1981-11-29,24.2,11
1973-11-30,25.6,13.4
1973-12-01,24,9.6
1976-12-02,23.4,15.4
1950-12-03,23.4,10.6
1950-12-04,23.4,11.8
1994-12-05,22.4,9
1976-12-06,22.6,12.6
1976-12-07,22.6,9.8
1976-12-08,23.2,9.2
2010-12-09,23.4,12.4
1961-12-10,23.6,14.4
2020-12-11,23.5,16.1
1998-12-12,24.6,11.6
1978-12-13,23.4,9.6
1981-12-14,23.8,12
1981-12-15,23.2,15
2015-12-16,22.8,7.2
2015-12-17,22.7,8.3
2004-12-18,22,12
2015-12-19,21.3,6.4
2012-12-20,21.8,11.9
2019-12-21,23.6,15.8
2012-12-22,22.5,11.6
2019-12-23,23.9,10.4
2019-12-24,22.9,7.1
1974-12-25,23.6,9.4
1968-12-26,21.4,15
1959-12-27,22,7.8
1990-12-28,21.4,11.4
2009-12-29,22.4,13.8
2001-12-30,23.4,10
2015-12-31,24.1,10.4
